"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2021-328019";"Evaluering av virkemidlene Innovasjonsprosjekt i offentlig sektor og Offentlig sektor-ph.d.";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2021-10-02";"2021-11-12";"/Notice/Details/2021-328019";"73000000";"Forskningsrådet, ved Område for samfunnsutvikling og digitalisering, Avdeling for fornyelse i offentlig sektor, innbyr til anbudskonkurranse med formål å evaluere virkemidlene Innovasjonsprosjekt i offentlig sektor (IP-O) og Offentlig sektor-ph.d. (OFFPHD). ";"1400000";"40";"2021";"41"
"2021-369986";"Utredning av dataøkonomien i offentlig sektor – finansiering og organisering av viderebruk av offentlige data";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2021-10-01";"2021-10-22";"/Notice/Details/2021-369986";"73000000";"Kommunal- og moderniseringsdepartementet (KMD) skal gjennomføre en utredning av dataøkonomien i offentlig sektor. Formålet er å identifisere sentrale utfordringer og muligheter knyttet til offentlig sektors rolle og oppgave som forvalter og tilbyder av offentlige data til viderebruk. Basert på denne innsikten skal det gis konkrete anbefalinger til hvilke insentiver og organiserings- og finansieringsmodeller som vil bidra til økt tilgjengeliggjøring og viderebruk av offentlige data fremover.";"1000000";"40";"2021";"21"
"2021-365033";"Evaluering av fagfornyelsen i praktiske og estetiske fag 2022-2025 - kvalifisering";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2021-10-01";"2021-11-02";"/Notice/Details/2021-365033";"73300000";"Evalueringen av fagfornyelsen består av flere forskningsprosjekter som lyses ut av Utdanningsdirektoratet. Nå lyser vi ut midler til et prosjekt som skal undersøke de praktiske og estetiske fagene. Vi vil ha kunnskap om hvordan fagfornyelsen realiseres gjennom planlegging og gjennomføring av undervisning i fagene kunst og håndverk, musikk, mat og helse og kroppsøving. Vi ønsker tilbud som omfatter minimum to av disse fagene og som undersøker hvordan læreplanene for fag tas i bruk av lærerne og skolene, og hvilke endringer det fører til både når det gjelder lærernes undervisnings- og vurderingspraksis, elevenes læring i fagene, og elevenes motivasjon, mestring og trivsel. 
Klikk her https://permalink.mercell.com/164276807.aspx
";"3000000";"40";"2021";"32"
"2021-397379";"Anskaffelse av rammeavtale for kjøp av konsulenttjenester innen prosjektledelse/bistand";"AtB AS ";"Kunngjøring av konkurranse";"2021-09-30";"2021-10-29";"/Notice/Details/2021-397379";"79421000";"Denne konkurransen gjelder rammeavtale for levering av konsulenttjenester innenfor prosjektledelse/prosjektbistand. Det vil bli inngått kontrakt med én leverandør. Den valgte leverandør skal bistå oppdragsgiver etter behov i kontraktsperioden.
Prosjektene vil i hovedsak omfatte prosjekter knyttet til utviklingsarbeid og offentlige anskaffelser innenfor AtBs tjenesteområder.
Avtalen skal inngås for en periode på 6 år, med opsjon for oppdragsgiver på ytterligere 1 + 1 år.
Klikk her https://permalink.mercell.com/163727472.aspx
";"16000000";"39";"2021";"29"
"2021-348117";"Helhetlig gjennomgang av honorarsystemet for frilanstolker";"Arbeids- og sosialdepartementet ";"Kunngjøring av konkurranse";"2021-09-30";"2021-11-01";"/Notice/Details/2021-348117";"73000000";"Retten til tolk er hjemlet i folketrygdloven. Tolking for hørselshemmede, døve og døvblinde utføres både av fast ansatte tolker ved NAV Hjelpemiddelsentral og av frilanstolker. Det er et viktig samfunnsoppdrag å sikre at døve, hørselshemmede og døvblindes behov for tolking og tolk/ledsaging blir dekket.";"700000";"39";"2021";"32"
"2021-347009";"Prosessimplementering og virksomhetsstyring";"Norsk filminstitutt ";"Kunngjøring av konkurranse";"2021-09-29";"2021-10-27";"/Notice/Details/2021-347009";"72224100";"Norsk filminstitutt (NFI) har lagt en strategi for 2025 som gir en tydelig retning og visjon for NFIs arbeid fremover gjennom seks satsningsområder.
For å realisere strategien har NFI sett behov for å gjennomføre noen endringer for å frigjøre mer kraft i organisasjonen. Dette resulterte i en organisasjonsendring hvor man la om på de tidligere fagavdelingene og etablerte en strategisk stab. Ny organisasjon har tredd i kraft 1. september 2021.
Den nye strategien, organisasjonsendringen og tidligere kartleggingsprosjekter har konkludert med at NFI har et behov for å iverksette noen større forbedringsprosjekter. Det er spesielt trukket frem et behov for å samordne tilskuddsforvaltningen samt styrke samhandlingen gjennom mer helhetlige prosesser. Videre har behovet for en styrket styring av økonomi og virksomhet blitt stadig tydeligere. Disse to områdene vil utgjøre oppdraget og kan sees på som to hoveddeler ved leveransen.
";"4000000";"39";"2021";"28"
"2021-392526";"2021-77 Verdiskaping i landbruket og landbruksbasert industri i Møre og Romsdal";"Møre og Romsdal Fylkeskommune ";"Kunngjøring av konkurranse";"2021-09-24";"2021-10-20";"/Notice/Details/2021-392526";"73200000";"Møre og Romsdal fylkeskommune har ansvar for å utarbeide en ny Fylkesstrategi for landbruk, planlagt vedtatt av Fylkestinget i 2022. Som en del av kunnskapsgrunnlaget for denne strategien er det hov for å få utarbeidet en oppdatert verdiskapingsanalyse for landbruk og landbruksbasert næring i Møre og Romsdal.
Se mer informasjon om oppdraget i og Oppdragsbeskrivelse Vedlegg 2 og Kravspesifikasjonen Vedlegg 3a.
";"900000";"39";"2021";"26"
"2021-366399";"FOR 050-2021 Ny klimastrategi for Bergen - planlegging og gjennomføring av gjestebud";"Bergen kommune - Innkjøp konsern ";"Kunngjøring av konkurranse";"2021-09-24";"2021-10-15";"/Notice/Details/2021-366399";"73200000";"Bistand til planlegging og gjennomføring av gjestebud som en integrert del av medvirkningsprosessen for ny klimastrategi.";NA;"39";"2021";"21"
"2021-321720";"Integrering av LHBTIQ+-personer.";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-09-24";"2021-10-22";"/Notice/Details/2021-321720";"73110000";"Målet med oppdraget er å få kunnskap som kan bidra til å sikre trygg og god integrering av LHBTIQ+-personer med fluktbakgrunn. Det foreligger lite kunnskap om LHBTIQ+-personers møte med introduksjonsprogrammet, norske lokalsamfunn og andre sider av integreringsløpet i Norge.";"1000000";"39";"2021";"28"
"2021-333248";"Litteratursammenstilling kunnskapsgrunnlag";"Nord Universitet ";"Kunngjøring av konkurranse";"2021-09-23";"2021-10-07";"/Notice/Details/2021-333248";"73210000";"Vi har behov for ekstern bistand for å få utarbeidet en litteratursammenstilling som skal benyttes som kunnskapsgrunnlag for skissering av et prosjekt for å beholde sykepleiere i helsetjenestene i Nordland og nordre Trøndelag.";NA;"38";"2021";"14"
"2021-375790";"Integrering av LHBTIQ+-personer";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-09-23";"2022-10-14";"/Notice/Details/2021-375790";"73110000";"Målet med oppdraget er å få kunnskap som kan bidra til å sikre trygg og god integrering av LHBTIQ+-personer med fluktbakgrunn. Det foreligger lite kunnskap om LHBTIQ+-personers møte med introduksjonsprogrammet, norske lokalsamfunn og andre sider av integreringsløpet i Norge.";"1000000";"38";"2021";NA
"2021-380561";"AL-21-04 Helse- og omsorgsplan";"Alvdal kommune ";"Kunngjøring av konkurranse";"2021-09-22";"2021-10-20";"/Notice/Details/2021-380561";"73000000";"Oppdragsgiver har til hensikt å inngå kontrakt for kjøp av konsulentbistand i forbindelse med utarbeiding av ny helse- og velferdsplan, herunder blant annet prosessledelse og sekretariatfunksjon.";"200000";"38";"2021";"28"
"2021-316414";"Anskaffelse av utredning om samlebegrepet ""press og kontroll""";"Kunnskapsdepartementet ";"Kunngjøring av konkurranse";"2021-09-22";"2021-10-20";"/Notice/Details/2021-316414";"73200000";"For å forebygge og beskytte mot press og kontroll i Norge er det behov for mer kunnskap om hva som kan begrense innvandrere i Norge sine muligheter til deltakelse i samfunnet og frie liv.
Formålet med utredningen er en styrket begrepsforståelse og fenomenavklaring. Dette vil være av betydning for videre fenomenforståelse og kunnskapsutvikling, synliggjøring av grensesnitt og samarbeidsmuligheter på tvers av ulike sektorer, og som felles grunnlag for utvikling og gjennomføring av tiltak. I denne sammenheng skal det også vurderes om det er hensiktsmessig å etablere en annen samlebetegnelse enn ""press og kontroll"".
Det skal utarbeides en sluttrapport innen utgangen av februar 2022.
";"500000";"38";"2021";"28"
"2021-317758";"Aktivt likestillingsarbeid. Offentlige myndigheters og arbeidsgiveres aktivitets- og redegjørelsesplikt etter likestilling- og diskrimineringsloven §§ 24, 26 og 26a";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-09-21";"2021-11-01";"/Notice/Details/2021-317758";"73000000";"Formålet med oppdraget er å utvikle ny kunnskap knyttet til offentlige myndigheter og arbeidsgiveres aktivitets- og redegjørelsesplikter (ARP), jamfør likestillings- og diskrimineringsloven §§ 24, 26 og 26a. Resultatene fra oppdraget skal brukes til å bygge opp et kunnskapsgrunnlag som bidrar til at Bufdir kan ivareta sin rolle som faginstans for aktivitets- og redegjørelsespliktene, herunder veiledning om pliktene. Det er også et mål at oppdraget skal gi økt kompetanse om ARP hos offentlige myndigheter, arbeidsgivere, arbeidslivets parter og andre interessenter gjennom forskningsformidling";NA;"38";"2021";"41"
"2021-384802";"Tilgjengelige kunstnerskap? Et kunnskapsprosjekt om kunstnere med funksjonsnedsettelser.";"Norsk Kulturråd ";"Kunngjøring av konkurranse";"2021-09-20";"2021-10-25";"/Notice/Details/2021-384802";"73000000";"Kulturrådet har gleden av å kunngjøre et kunnskapsprosjekt om profesjonelle kunstnere med funksjonsnedsettelser. Prosjektet skal identifisere hvilke drivkrefter og barrierer som støtter opp om og forhindrer at personer med funksjonsnedsettelser skal kunne virke som profesjonelle kunstnere i Norge, og kartlegge hvilke konkrete faktorer som fremmer og hindrer disse kunstnernes virke i feltene visuell kunst, scenekunst, musikk og litteratur. Kunnskapsprosjektet skal belyse relevante erfaringer fra kunstnerne selv med henblikk på de utfordringene de kan oppleve i yrkesutøvelsen som følge av sin funksjonsnedsettelse. Prosjektet skal også kartlegge hvordan kunst- og kulturinstitusjoner tilrettelegger for og ellers forholder seg til kunstnere med funksjonsnedsettelser. For mer informasjon, se konkurransegrunnlaget, inkludert vedlegg.
Oppdragstaker er selv ansvarlig for valg av metode og prosjektgjennomføring, men skal legge vekt på dialog med og medvirkning fra personer med funksjonsnedsettelser i utvikling og gjennomføring av kunnskapsprosjektet.
Oppdraget skal utføres i perioden november 2021 - august 2022. Det skal leveres en utvidet prosjektplan innen 1. desember 2021, en (kortfattet) delrapport med foreløpige funn innen 1. april 2022, og levering og presentasjon av sluttrapport innen 19. august 2022.
Totalprisen (fastpris) for anskaffelsen (oppdraget) er NOK 1 200 000 eks. mva. Oppdraget skal gjennomføres og leveres i tråd med krav og betingelser i konkurransegrunnlag, inkl. vedlegg, samt i tråd med tilbudet. Totalprisen (fastprisen) skal inneholde alle utgifter og kostnader for leverandøren, utenom at Kulturrådet dekker kostnader knyttet til produksjon og distribusjon av publikasjonen. Se bilag 5 i «Vedlegg 1 - SSA-O bilag 2018» for mer informasjon.
Resultatene av oppdraget skal offentliggjøres etter overlevering, jfr. bilag 6, og det stilles krav til blant annet at «Bemanningen for dette kunnskapsprosjektet skal ha den nødvendige kompetanse for å gjennomføre oppdraget beskrevet i bilag 1.».
For mer informasjon, se konkurransegrunnlaget, inkludert vedlegg.
";"1200000";"38";"2021";"35"
"2021-364266";"Barnevernets møte med barn med problematisk og/ eller skadelig seksuell atferd og deres familier, og hvordan disse opplever kontakten med barnevernet, samt en følgeforskning av nystartede MST-PSB";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-09-20";"2021-10-25";"/Notice/Details/2021-364266";"73000000";"Formålet med dette forskningsoppdraget er å få ny kunnskap om forekomsten av barn med kjent PSA/SSA-problematikk som er i kontakt med barnevernet (inkludert meldings-, undersøkelses- og tiltaksfase, fosterhjem og institusjon). Videre er formålet å undersøke hvordan barna og deres familier blir møtt, ivaretatt og fulgt opp av barnevernet. Økt kunnskap om hvordan denne gruppen blir møtt, ivaretatt og fulgt opp vil kunne legge grunnlag for å sikre bedre ivaretakelse av disse barna og bidra til bedre tverretatlig samarbeid med aktuelle tjenester.
Hensikten med delprosjektet «følgeforskning av implementeringen av MST-PSB» er å få kunnskap om hvilke erfaringer ansatte og brukere har med tilbudet. Kunnskap om hvordan den helhetlige og familiebaserte tilnærmingen i MST har blitt anvendt og tilpasset tematikken vil kunne styrke tjenestetilbudet til barn med seksuell atferdsproblematikk og være del av kunnskapsgrunnlaget på feltet.
";"4000000";"38";"2021";"35"
"2021-326519";"Kartlegging av endringer i kommunenes utgifter til økonomisk stønad som følge av endringer i regelverket for arbeidsavklaringspenger";"Arbeids- og sosialdepartementet ";"Kunngjøring av konkurranse";"2021-09-19";"2021-10-25";"/Notice/Details/2021-326519";"73000000";"Målet med anskaffelsen er å få kartlagt endringer i kommunenes utgifter til økonomisk stønad som følge av endringene i regelverket for arbeidsavklaringspenger som trådte i kraft i 2018. Anskaffelsen er knyttet til enigheten mellom Arbeids- og sosialdepartementet og KS om å kartlegge i hvilken grad endringene i regelverket for arbeidsavklaringspenger har betydning for kommunenes utgifter til økonomisk stønad, jf. Prop. 74 L (2016-2017).";"1850000";"38";"2021";"36"
"2021-349869";"Kartlegge behovet for beskyttelse og krisesentertilbud for nyankomne flyktninger som er utsatt for negativ sosial kontroll, æresrelatert vold og annen vold i nære relasjoner";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-09-18";"2021-10-11";"/Notice/Details/2021-349869";"73000000";"IMDi skal i samarbeid med Bufdir følge opp tiltak 2 i handlingsplanen ""Frihet fra negativ sosial kontroll og æresrelatert vold (2021-2024)"". Oppdraget gjelder tiltak 2 i denne handlingsplanen:
""Nyankomne flyktninger og innvandrere som er volds- og trusselutsatte utgjør sårbare grupper med særskilte oppfølgingsbehov. Det omfatter asylsøkere og deltakere i introduksjonsprogrammet som er utsatt for negativ sosial kontroll, æresrelatert vold og annen vold i nære relasjoner og som oppholder seg på krisesenter. Deres behov for beskyttelse og krisesentertilbud skal kartlegges. Det skal også kartlegges hvordan man kan lette voldsutsattes muligheter for sekundærbosetting. Ny kunnskap skal bidra til å styrke oppfølgingen av nyankomne flyktninger og innvandrere som er volds- og trusselutsatte.""
";"1250000";"38";"2021";"23"
"2021-391064";"Kompetansekartlegging - negativ sosial kontroll og æresrelatert vold i skolesektoren og i tjenestene som møter nyankomne flyktninger og innvandrere";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-09-17";"2021-10-14";"/Notice/Details/2021-391064";"73000000";"Dette oppdraget er knyttet til tiltak 1 i handlingsplanen ""Frihet fra negativ sosial kontroll og æresrelatert vold (2021-2024)"":
«Det er behov for å kartlegge kompetansen om negativ sosial kontroll og æresrelatert vold, samt lhbtiq, i tjenester som møter nyankomne flyktninger og innvandrere. Det kan for eksempel være ansatte i voksenopplæringen, introduksjonsprogrammet og øvrige tjenester som følger opp nyankomne flyktninger og innvandrere. Kartleggingen skal omfatte alle nivåer i de aktuelle tjenestene.»
Hensikten med kompetansekartleggingen er todelt. For det første skal den legge grunnlaget for å lage en kompetansehevingsstrategi, jf. tiltak 1 handlingsplanen:
For det andre skal kompetansekartleggingen styrke grunnlaget for å dimensjonere, målrette og koordinere kompetansehevingsarbeidet til minoritetsrådgivere, integreringsrådgivere, IMDis fagteam og Kompetanseteamet mot tvangsekteskap, kjønnslemlestelse og negativ sosial kontroll (Kompetanseteamet).
";"1500000";"38";"2021";"27"
"2021-362490";"Erfaringer med konverteringsterapi av skeive";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-09-17";"2021-10-27";"/Notice/Details/2021-362490";"73000000";"Formålet med oppdraget er å fremskaffe kunnskap om utbredelse, former for praksis og konsekvenser av konverteringsterapi i Norge, inkludert personer i Norge som har erfart konverteringsterapi i utlandet. Undersøkelsen skal gi nødvendig kunnskap om konverteringsterapi for å sikre lhbtiq-personers rettigheter og motvirke diskriminering, og vurdere hensiktsmessige tiltak.";"1500000";"38";"2021";"40"
"2021-341975";"Evaluering av bestemmelsen om tredelt skift- og turnusarbeid";"Arbeids- og sosialdepartementet ";"Kunngjøring av konkurranse";"2021-09-15";"2021-10-15";"/Notice/Details/2021-341975";"73000000";"Arbeidstiden for skift- og turnusarbeid, og likestilling av arbeidstiden for arbeidstakere som går i turnus med arbeidstakere i såkalt helkontinuerlig skiftarbeid, har vært diskutert flere ganger. Problemstillingen var en del av Skift/turnusutvalget sitt arbeid (NOU 2008: 17), hvorpå utvalget foreslo en ny bestemmelse om tredelt skift- og turnusarbeid. Forslaget ble fulgt opp i Ot.prp. nr. 54 (2008-2009) Om lov om endringer i arbeidsmiljøloven (likestilling av arbeidstiden for skift- og turnusarbeidere mv.). Forslaget, en ordning med gradvis kompensasjon for ubekvem arbeidstid, ble tatt inn i arbeidsmiljøloven §10-4 (6) med virkning fra 1.januar 2010. Ordningen skal nå evalueres.";"1500000";"37";"2021";"30"
"2021-309840";"Scenarier for fremtidens arbeidsliv i statlig tariffområde";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2021-09-14";"2021-10-01";"/Notice/Details/2021-309840";"73000000";"Som en del av det partsinitierte prosjektet om fremtidens rammebetingelser og arbeidsliv i statlig tariffområde utlyser KMD et oppdrag om å fasilitere selve scenariodelen av prosjektet. Leveranse skal bestå av følgende tre elementer:
1. Utarbeide en oppstartrapport som dokumenterer status og mulig utviklingstrekk på fremtidens arbeidsliv i statlig tariffområde.
2. Fasilitere en scenarioprosess på fremtidens arbeidsliv i statlig tariffområde gjennom kvalitative tilnærminger med partene i staten og faglige ressurspersoner.
3. Dokumentere oppdraget, rammebetingelser, drivkrefter og scenarioene i en sluttrapport.
Oppdraget skal gjennomføres frem til 30. april 2022.
Øvre økonomiske ramme er 1,2 million kr. ekskl. mva inkl. opsjon. Innenfor denne rammen har Oppdragsgiver satt av inntil 1 million ekskl. mva. til å gjennomføre selve Oppdraget. Oppdragsgiver har videre satt av inntil 200.000 kroner ekskl. mva. til en eventuell opsjon.
";"1200000";"37";"2021";"17"
"2021-392857";"Kartleggingsstudie for et potensielt institusjonssamarbeid med den Afrikanske Union om bærekraftig havøkonomi";"Norad – Direktoratet for utviklingssamarbeid ";"Kunngjøring av konkurranse";"2021-09-09";"2021-09-24";"/Notice/Details/2021-392857";"73000000";"Norad inviterer til å gi tilbud i anskaffelse av kartleggingsstudie for et potensielt institusjonssamarbeid med den Afrikanske Union om bærekraftig havøkonomi. Formålet med studien er:
1. Å sikre en felles forståelse av status, utfordringer og behov knyttet til AUs implementering av Blue Economy Strategy og fremme en bærekraftig havøkonomi på kontinentet;
2. Å identifisere relevante tematiske og geografiske prioriteringer i et strategisk og langsiktig samarbeid med Norge på hav, gitt norsk kompetanse og erfaring; og
3. Å kartlegge relevante aktører, deres kompetanse og kapasitet, samt hvordan de relaterer til hverandre, og tilrettelegge for god giverkoordinering
";"450000";"36";"2021";"15"
"2021-376516";"Kartleggingsstudie for et potensielt institusjonssamarbeid med Kenya om bærekraftig havøkonomi";"Norad – Direktoratet for utviklingssamarbeid ";"Kunngjøring av konkurranse";"2021-09-09";"2021-09-24";"/Notice/Details/2021-376516";"73000000";"Norad inviterer til å gi tilbud i anskaffelse av konsulenttjenester i forbindelse med en kartleggingsstudie for et potensielt institusjonssamarbeid med Kenya om bærekraftig havøkonomi. Studien vil benyttes i dialogen med myndighetene i Kenya om design og innhold i et potensielt Hav/fisk for utviklingssamarbeid. Studien vil inngå som en del av forberedelsene til utviklingen av et programdokument som beskriver målsetninger, leveranser, styringsmodell og risikostyring for et langsiktig samarbeid. Mer spesifikt så er formålet med studien:
1. Å sikre en felles forståelse av status, utfordringer og behov for bærekraftig og inkluderende havforvaltning i Kenya;
2. Å identifisere potensielle samarbeidspartnere og andre relevante aktører, og relevante samarbeidsområder i landet, samt tilrettelegge for god giverkoordinering; og
3. Gi innspill til endringsteorien og risikostyring i programmet.
";"450000";"36";"2021";"15"
"2021-336263";"Barnevern over landegrenser; barnevernssaker der barn og foreldre har tilknytning til flere land";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-09-07";"2021-10-13";"/Notice/Details/2021-336263";"73000000";"Formålet med oppdraget er å skaffe ny kunnskap om barnevernets håndtering av saker der barn og foreldre har tilknytning til flere land, for derved å se på utfordringer som kan løses ved ulike tiltak. Et overordnet mål er å forbedre barnevernets kompetanse og bidra til en mer kunnskapsbasert virksomhet.";"2400000";"36";"2021";"36"
"2021-393875";"Mat og opplevelser i fjellet";"Viken fylkeskommune ";"Kunngjøring av konkurranse";"2021-09-07";"2021-09-29";"/Notice/Details/2021-393875";"73200000";"Rapport for prosjektet Mat og opplevingar i fjellet";"650000";"36";"2021";"22"
"2021-363771";"Utslippsreduserende tiltak sjøfart";"Stavanger kommune ";"Kunngjøring av konkurranse";"2021-09-06";"2021-09-27";"/Notice/Details/2021-363771";"73200000";"Stavanger kommune ønsker gjennom denne konkurransen å inngå en avtale om levering av konsulenttjenester for Sjøfartsutslipp i Stavanger- kunnskapsinnhenting og vurdering av kommunens handlingsrom.
Arbeidet skal utføres i perioden oktober 2021 - Februar 2022. Øvre økonomiske ramme er 450 000 NOK eksl MVA.
";"450000";"36";"2021";"21"
"2021-346564";"Aktivitets- og redegjørelsesplikten og arbeid av lik verdi (likelønn)";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2021-09-06";"2021-09-27";"/Notice/Details/2021-346564";"73200000";"Partene i staten – dvs. KMD og hovedsammenslutningene LO Stat, YS Stat, Unio og Akademikerne – har tatt initiativ til et prosjekt som skal se på hvordan de statlige virksomhetene har arbeidet med likelønnsrapporteringen for 2021.
Formålet med prosjektet er å følge utvalgte virksomheters arbeid med likelønnskartleggingen for år 2021 og utarbeide en rapport som kan være nyttig for fremtidig arbeid med likelønnsrapporteringer. Prosjektet rettes mot de virksomheter som forventer at arbeidet med lønnskartleggingen er (noe) krevende og/eller der man av faglige grunner ser spesielle utfordringer som bør problematiseres. Siden det viktigste er å få frem utfordringer og læring til andre, ønsker oppdragsgiver en casestudie, og ikke en fullstendig/representativ rapportering av arbeidet i statlig tariffområde.
For nærmere beskrivelse av leveransen, se bilag 1 til kontrakt (Kundens beskrivelse av oppdraget).
";"800000";"36";"2021";"21"
"2021-302921";"Kartlegging av tilgang og pris på boligfinansiering i distriktene";"Husbanken ";"Kunngjøring av konkurranse";"2021-09-06";"2021-09-20";"/Notice/Details/2021-302921";"73200000";"Formålet med oppdraget er å få en presis problembeskrivelse og kartlegging av situasjonen når det gjelder tilgang til kreditt og prisen på kreditt i distriktene.
Oppdraget skal gi et bredt kunnskapsgrunnlag for å vurdere aktuelle tiltak for å målrette Husbankens innsats mot disse kommunene.
";"600000";"36";"2021";"14"
"2021-347476";"Kartlegging og formidling av grønne verdier";"TØNSBERG KOMMUNE ";"Kunngjøring av konkurranse";"2021-09-06";"2021-09-24";"/Notice/Details/2021-347476";"73200000";"Drammen og Tønsberg kommuner har blitt tildelt 1.000.000 kr gjennom Miljødirektoratets Klimasats til et kunnskaps- og formidlingsprosjekt. Vi har behov for å kartlegge grønne og blå arealer i kommunen med betydning for karbonlagring, klimatilpasning og naturmangfold. De samme arealene kan i tillegg fungere som lekeareal for barn og unge, rekreasjon, friluftsliv og folkehelse.
Prosjektet har sitt utspring i statlige planretningslinjer for klima og energiplanlegging og klimatilpasning (SPR klima) som sier at kommunene bør kartlegge økosystemer og arealer med betydning for klimatilpasning. SPR sier også at klimagassutslipp og klimatilpasning må ses i sammenheng der det er naturlig.
Kunnskapen skal formidles der beslutninger om arealdisponering skjer, nemlig gjennom kommuneplanens arealdel. Vi ønsker implementering av kunnskapen i kartløsningene kommunene allerede bruker.
Prosjektet skal belyse at klimakrisen og naturkrisen ikke kan løses uavhengig av hverandre.
";NA;"36";"2021";"18"
"2021-302620";"Konsulenttjenester innen Cyber security, datasikkerhet og personvern knyttet til digitale fellesgoder";"Norad – Direktoratet for utviklingssamarbeid ";"Kunngjøring av konkurranse";"2021-09-02";"2021-10-04";"/Notice/Details/2021-302620";"72300000";"Norad søker konsulent(er) til å støtte vårt arbeid innen tillit, personvern og cybersikkerhet innen utvikling av digitale fellesgoder og implementering av digitale fellesgoder i lav- og mellominntektsland.
Oppdraget dekker to arbeidspakker. Det er mulig å tilby tjenester for én av arbeidspakkene eller begge to.
1. Personvern og datasikkerhet
2. Sårbarheter i grunnleggende åpen kildekode-prosjekter/biblioteker som digitale fellesgoder bygger på
Begge arbeidspakkene har planlagt oppstart i oktober 2021 og vil i første omgang ha varighet på ett år, med mulighet for ett års forlengelse. De to arbeidspakkene planlegges å dekke ca. 160 timer pr. mnd. til sammen. Maksimal budsjettramme for begge arbeidspakker er 6 mill. kr inkl. opsjon.
";"6000000";"35";"2021";"32"
"2021-337966";"Utredningsoppdrag om barns mobilitet";"Samferdselsdepartementet ";"Kunngjøring av konkurranse";"2021-09-02";"2021-09-23";"/Notice/Details/2021-337966";"73000000";"Barnas transportplan er inkludert i Meld. St. 20 (2020-2021) Nasjonal transportplan 2022-2033. Det er viktig for regjeringen å gi barn gode muligheter til å være aktive og selvstendige trafikanter samt å ta hensyn til barn og unges behov i areal- og transportplanleggingen. Oppdragsgiver vil ha en rapport som gir oversikt over eksisterende tiltak og pilotordninger, samt innspill til mulige nye tiltak som bidrar til å gi barn økt mobilitet, både kvantitativt og kvalitativt. Rapporten skal også vurdere og analysere både eksisterende og nye tiltaks evne til å oppfylle de ovennevnte målsettingene. Utredningen må leveres innen 15. desember 2021 og faktura må være Samferdselsdepartementet ihende innen 16. desember med forfall senest 20. desember 2021. Oppdraget har en øvre økonomisk ramme på inntil kr 500 000 kr ekskl. mva.";"500000";"35";"2021";"21"
"2021-343075";"Kapasitetsavtale data og analyse";"Statens vegvesen ";"Kunngjøring av konkurranse";"2021-09-01";"2021-09-30";"/Notice/Details/2021-343075";"72000000";"Formål med Avtalen er å etablere et samarbeid med én Leverandør som støtter Kunden på området data og analyse med riktig kompetanse og avtalt kapasitet. Gjennom denne Avtalen skal Statens vegvesen (Kunden) ha tilgang til kompetanse og fleksibel kapasitet som skal bistå i utviklingen på data- og analysefeltet i hele Kundens organisasjon.
Antatt verdi, dersom alle mulighetene til forlengelse benyttes, er 500 - 750 millioner kroner.
";"750000000";"35";"2021";"29"
"2021-387060";"Evaluering av tilskuddsordningen til helsesamarbeid med Russland";"Helse- og omsorgsdepartementet ";"Kunngjøring av konkurranse";"2021-09-01";"2021-10-02";"/Notice/Details/2021-387060";"73200000";"Tilskuddsordningen til helsesamarbeidet med Russland er et virkemiddel for å styrke helsesamarbeidet mellom fagmiljøer i Norge og Russland og å bidra til bedre folkehelse.
Ordningen skal bidra til dette gjennom å støtte opp om helsesamarbeidet i Barentsregionen og prioriteringen i Barents helse- og sosialsamarbeidsprogram.
Formålet med dette oppdraget er å skaffe bedre kunnskapsgrunnlag om tilskuddsordningens bidrag til å realisere målene i Barents helse- og sosialsamarbeid og ordningens betydning for å fremme norsk-russiske bilaterale samarbeidsrelasjoner og i Barentsregionen.
Analysens hovedfokus skal være på foregående programperiode (2016-2019). I tillegg ønsker vi en kort omtale av hvordan covid-19 har påvirket samarbeidet i noen utvalgte prosjekter i 2020.
";"800000";"35";"2021";"31"
