"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde";"kunngjort_ukedag"
"2022-369931";"Nav Asker, Erteløkka 7/9";"Asker kommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-11";"/Notice/Details/2022-369931";"45262700";NA;"10";"2022";"31";"fre\."
"2022-307896";"Øye produkter og implantater til foretakene i Helse Midt-Norge";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-13";"/Notice/Details/2022-307896";"33140000";"280000000";"10";"2022";"33";"fre\."
"2022-366635";"Kjøp av kontrolltjenester - heiser og andre løfteinnretninger";"Universitetet i Oslo";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-01";"/Notice/Details/2022-366635";"71356100";NA;"10";"2022";"21";"fre\."
"2022-366399";"Kjøp av varslingstjenester";"BIR Privat AS";"Kunngjøring av konkurranse";"2022-03-11";"2022-03-31";"/Notice/Details/2022-366399";"64212100";"18000000";"10";"2022";"20";"fre\."
"2022-382017";"VA Verftsveien og deler av Myrveien";"Aquapartner AS";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-08";"/Notice/Details/2022-382017";"45231300";NA;"10";"2022";"28";"fre\."
"2022-328013";"Fv. 2620 Vågårusten og Fv. 2660 Prestgårdsbrue - Brustugu, utbedringstiltak 2022";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-01";"/Notice/Details/2022-328013";"45000000";NA;"10";"2022";"21";"fre\."
"2022-385956";"Småleker og premier til barn og ungdom i behandling i Helse Vest";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-19";"/Notice/Details/2022-385956";"37500000";"34000000";"10";"2022";"39";"fre\."
"2022-356290";"Ny barnehage Marisberg Tromøy";"Arendal eiendom KF";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-13";"/Notice/Details/2022-356290";"45000000";NA;"10";"2022";"33";"fre\."
"2022-385948";"Anskaffelse av statlige fellesavtaler om kjøp av flyreiser";"Statens innkjøpssenter v/DFØ";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-22";"/Notice/Details/2022-385948";"60400000";"35000000000";"10";"2022";"42";"fre\."
"2022-392510";"Høydebasseng Håvik";"Karmøy Kommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-29";"/Notice/Details/2022-392510";"45232153";"150000000";"10";"2022";"49";"fre\."
"2022-391891";"2022/1222 - Parallelle rammeavtaler om rør- og sanitærinstallasjonsarbeider for eiendommer i Kristiansand og omegn";"STATSBYGG";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-06";"/Notice/Details/2022-391891";"45231113";NA;"10";"2022";"26";"fre\."
"2022-359833";"GSV Skansvegen";"Ringsaker kommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-03-31";"/Notice/Details/2022-359833";"45000000";NA;"10";"2022";"20";"fre\."
"2022-315471";"Anskaffelse av rammeavtale for strømperenovering avløp (NoDig)";"Lillestrøm Kommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-11";"/Notice/Details/2022-315471";"45231300";NA;"10";"2022";"31";"fre\."
"2022-373480";"2022-26 Utgreiing av museumssektoren i Møre og Romsdal";"Møre og Romsdal Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-01";"/Notice/Details/2022-373480";"79411100";"4000000";"10";"2022";"21";"fre\."
"2022-360966";"Evaluering av sektorvise responsmiljøer";"Justis- og beredskapsdepartementet";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-08";"/Notice/Details/2022-360966";"73200000";"10000000";"10";"2022";"28";"fre\."
"2022-372141";"76366 Gammateller til Nukleærmedisin";"Oslo Universitetssykehus HF (hovedenhet)";"Kunngjøring av konkurranse";"2022-03-11";"2022-03-28";"/Notice/Details/2022-372141";"38945000";NA;"10";"2022";"17";"fre\."
"2022-304150";"Hjulgraver med henger";"Nesbyen kommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-05";"/Notice/Details/2022-304150";"34140000";NA;"10";"2022";"25";"fre\."
"2022-363890";"Rammeavtale for kjøp av kontormøbler";"Norad – Direktoratet for utviklingssamarbeid";"Kunngjøring av konkurranse";"2022-03-11";"2022-03-31";"/Notice/Details/2022-363890";"39100000";"8000000";"10";"2022";"20";"fre\."
"2022-341510";"Hjullaster";"Reno-Vest Produksjon AS";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-08";"/Notice/Details/2022-341510";"34144710";NA;"10";"2022";"28";"fre\."
"2022-390579";"Konsulentbistand ved gjennomføring av anskaffelser";"Entur AS";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-11";"/Notice/Details/2022-390579";"79000000";NA;"10";"2022";"31";"fre\."
"2022-353152";"Organisasjonsutvikling for ledelsesfunksjoner, kommunedirektørens fagstab, og utviklings- og støttetjenestene i Trondheim kommune";"Trondheim kommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-01";"/Notice/Details/2022-353152";"79400000";"6000000";"10";"2022";"21";"fre\."
"2022-385122";"Anskaffelse av midlertidige akuttinnkvarteringer";"Utlendingsdirektoratet - UDI";"Kunngjøring av konkurranse";"2022-03-11";"2022-03-18";"/Notice/Details/2022-385122";"85000000";NA;"10";"2022";"7";"fre\."
"2022-361039";"Konkurranse - Kjøp av spesialiserte somatiske habiliterings- og rehabiliteringstjenester";"Helse Nord RHF";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-25";"/Notice/Details/2022-361039";"85312500";"23040000000";"10";"2022";"45";"fre\."
"2022-318891";"Hjullaster til Botanisk hage (NHM) rev2";"Universitetet i Oslo";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-01";"/Notice/Details/2022-318891";"16700000";"6000000";"10";"2022";"21";"fre\."
"2022-390512";"Konkurranse på driftskontrakt 5418 Loppa - Hasvik 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-13";"/Notice/Details/2022-390512";"63712200";NA;"10";"2022";"33";"fre\."
"2022-325930";"Kontanthåndtering og verditransport";"Entur AS";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-06";"/Notice/Details/2022-325930";"79710000";"120000000";"10";"2022";"26";"fre\."
"2022-363991";"Elektro arbeid og materiell";"Rogaland Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-18";"/Notice/Details/2022-363991";"51100000";NA;"10";"2022";"38";"fre\."
"2022-337396";"Anskaffelse av guard-løsning";"FORSVARSMATERIELL";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-20";"/Notice/Details/2022-337396";"72224200";NA;"10";"2022";"40";"fre\."
"2022-347799";"Kjøp av renholdstjenester";"Asker og Bærum Brann og Redning IKS";"Kunngjøring av konkurranse";"2022-03-11";"2022-05-02";"/Notice/Details/2022-347799";"90910000";NA;"10";"2022";"52";"fre\."
"2022-378798";"Konsulentbistand - Strategisk campusutvikling";"OsloMet - storbyuniversitetet";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-378798";"71210000";NA;"10";"2022";"28";"tor\."
"2022-388331";"Anskaffelse av utstyr til scene, lyd, lys og bilde til Lillestrøm bibliotek";"Lillestrøm Kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-08";"/Notice/Details/2022-388331";"32342400";NA;"10";"2022";"29";"tor\."
"2022-340789";"Statlig fellesavtale for mobile enheter";"Statens innkjøpssenter v/DFØ";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-19";"/Notice/Details/2022-340789";"32250000";"12000000000";"10";"2022";"40";"tor\."
"2022-347214";"Anskaffelse av Rammeavtale på lysbøyer";"KYSTVERKET";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-347214";"34515100";NA;"10";"2022";"28";"tor\."
"2022-398824";"Rammeavtale TV-løsning, Orkland kommune";"Orkland Kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-03-31";"/Notice/Details/2022-398824";"92220000";NA;"10";"2022";"21";"tor\."
"2022-326801";"2019/5098 : Park og scenebygg i Generalhagen";"Harstad kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-19";"/Notice/Details/2022-326801";"45237000";NA;"10";"2022";"40";"tor\."
"2022-304038";"Trafikkpark Blåbærhaugen";"Harstad kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-08";"/Notice/Details/2022-304038";"45233300";NA;"10";"2022";"29";"tor\."
"2022-314623";"Konkurranse på """"Elektrifisering av Lyngensambandene Svensby og Olderdalen""""";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-05";"/Notice/Details/2022-314623";"45000000";NA;"10";"2022";"26";"tor\."
"2022-354522";"Anskaffelse av målrettet Norskopplæring - Tromsø";"ARBEIDS- OG VELFERDSETATEN";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-11";"/Notice/Details/2022-354522";"80590000";"180000000";"10";"2022";"32";"tor\."
"2022-303955";"Ekspressleveranser av gods innland";"Forsvaret v/Forsvarets logistikkorganisasjon";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-29";"/Notice/Details/2022-303955";"64121000";"200000000";"10";"2022";"50";"tor\."
"2022-359643";"Bindal Kommune - Uteseksjonen - garasjebygg";"Bindal Kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-20";"/Notice/Details/2022-359643";"45200000";NA;"10";"2022";"41";"tor\."
"2022-357150";"Innkjøp av ny brannbil";"Sømna Kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-22";"/Notice/Details/2022-357150";"34144000";"35000000";"10";"2022";"43";"tor\."
"2022-395759";"Kalkyle- og planleggingsprogram for renhold til Sykehuset i Østfold og Akershus Universitetssykehus";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-11";"/Notice/Details/2022-395759";"72000000";NA;"10";"2022";"32";"tor\."
"2022-316698";"Nye Stavanger Universitetssjukehus - 1028 Byggrengjøring";"Helse Stavanger HF";"Kunngjøring av konkurranse";"2022-03-10";"2022-03-24";"/Notice/Details/2022-316698";"45215100";"300000000";"10";"2022";"14";"tor\."
"2022-324745";"Rotasjonsmikrotomer, Universitetssykehuset Nord-Norge HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-04";"/Notice/Details/2022-324745";"33100000";"17500000";"10";"2022";"25";"tor\."
"2022-338337";"Katastrofevarsling - Bodin videregående skole";"Nordland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-338337";"45000000";NA;"10";"2022";"28";"tor\."
"2022-335528";"2022/126 - Ultralydapparater Low-end til Kvinneklinikken ved St. Olavs Hospital HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-08";"/Notice/Details/2022-335528";"33112200";NA;"10";"2022";"29";"tor\."
"2022-372532";"Helhetlig nærings- og stedsutvikling for Bessaker";"NORD-FOSEN UTVIKLING AS";"Kunngjøring av konkurranse";"2022-03-10";"2022-03-31";"/Notice/Details/2022-372532";"79400000";"7500000";"10";"2022";"21";"tor\."
"2022-380823";"Kjennskap- og kundeundersøkelser";"Eksportfinansiering Norge";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-08";"/Notice/Details/2022-380823";"79311000";NA;"10";"2022";"29";"tor\."
"2022-324185";"Individuelt tilrettelagt og særskilt skoleskyss i Dalane";"Kolumbus AS";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-324185";"60120000";NA;"10";"2022";"28";"tor\."
"2022-397076";"Individuelt tilrettelagt og særskilt skoleskyss på Haugalandet";"Kolumbus AS";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-397076";"60120000";NA;"10";"2022";"28";"tor\."
"2022-305773";"Individuelt tilrettelagt- og særskilt skoleskyss på Jæren";"Kolumbus AS";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-305773";"60100000";NA;"10";"2022";"28";"tor\."
"2022-392336";"Konkurranse på driftskontrakt 5426 Masi 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-13";"/Notice/Details/2022-392336";"63712200";NA;"10";"2022";"34";"tor\."
"2022-331653";"Konkurranse på driftskontrakt 5427 Kautokeino 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-13";"/Notice/Details/2022-331653";"63712200";NA;"10";"2022";"34";"tor\."
"2022-349470";"Oslo VO Rosenhof – Vindusutskifting og solavskjerming";"Oslo kommune v/ Oslobygg KF";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-06";"/Notice/Details/2022-349470";"45000000";NA;"10";"2022";"27";"tor\."
"2022-343315";"Skrapevarmeveksler";"Norges miljø- og biovitenskapelige universitet";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-01";"/Notice/Details/2022-343315";"38000000";NA;"10";"2022";"22";"tor\."
"2022-393344";"Totalentreprise Via Ferrata Hornelen - Ny konkurranse";"Bremanger kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-08";"/Notice/Details/2022-393344";"45210000";NA;"10";"2022";"29";"tor\."
"2022-335403";"AV-produksjon for nettstrømming i Rogaland fylkeskommune";"Rogaland Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-03-25";"/Notice/Details/2022-335403";"64228100";"20000000";"10";"2022";"15";"tor\."
"2022-377194";"Halldekke Sofiemyrhallen";"NORDRE FOLLO KOMMUNE";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-377194";"45432100";"25000000";"10";"2022";"28";"tor\."
"2022-334469";"Røvær - utvidelse og rehabilitering av kanal";"Rogaland Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-27";"/Notice/Details/2022-334469";"45000000";NA;"10";"2022";"48";"tor\."
"2022-319350";"22/2004 - Konkurransegrunnlag FOA Del I - Kontroll, vedlikehold og reparasjoner kraner og løfteutstyr mm. Ny kunngjøring";"Holmestrand kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-03-29";"/Notice/Details/2022-319350";"50531400";NA;"10";"2022";"19";"tor\."
"2022-389075";"Kapasitetsavtale Microsoft Office 365-området";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-19";"/Notice/Details/2022-389075";"72000000";NA;"10";"2022";"40";"tor\."
"2022-316072";"Bankgata Flerbrukshall - Akustiske tiltak";"Bodø kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-01";"/Notice/Details/2022-316072";"45323000";"20000000";"10";"2022";"22";"tor\."
"2022-309336";"Midlertidig botilbud ved Elveplassen";"Asker kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-04";"/Notice/Details/2022-309336";"85311000";NA;"10";"2022";"25";"tor\."
"2022-324397";"Servicemedarbeider";"ARBEIDS- OG VELFERDSETATEN";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-324397";"80590000";"60000000";"10";"2022";"28";"tor\."
"2022-348114";"Rammeavtale for service og reparasjoner samt kjøp av reservedeler til rister og ristgodtspresser ved Bekkelaget renseanlegg";"Oslo kommune v/ Vann- og avløpsetaten";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-01";"/Notice/Details/2022-348114";"50000000";"40000000";"10";"2022";"22";"tor\."
"2022-329865";"Trebearbeidingsmaskin CNC styrt";"Kriminalomsorgsdirektoratet Ringerike fengsel";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-09";"/Notice/Details/2022-329865";"42642100";"16000000";"10";"2022";"30";"tor\."
"2022-329972";"Rammeavtale for service av stempelkompressorer Bekkelaget";"Oslo kommune v/ Vann- og avløpsetaten";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-01";"/Notice/Details/2022-329972";"50000000";"35000000";"10";"2022";"22";"tor\."
"2022-334984";"Prekvalifisering - Anskaffelse av K3003 Sanitær-, varme- og kjøleanlegg (rammeavtale) til Sjukehuset Nordmøre og Romsdal (SNR)";"Sykehusbygg HF";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-07";"/Notice/Details/2022-334984";"45231110";"2000000000";"10";"2022";"28";"tor\."
"2022-348398";"Brøyting av rode Brensholmen, Sommarøy og Hillesøy - veg";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-20";"/Notice/Details/2022-348398";"90620000";NA;"10";"2022";"41";"tor\."
"2022-317647";"Anskaffelse av bistand til utvikling og gjennomføring av program for lederutvikling i kriminalomsorgen";"Kriminalomsorgsdirektoratet";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-04";"/Notice/Details/2022-317647";"79633000";"13000000";"10";"2022";"25";"tor\."
"2022-331959";"1004910 Nytt regjeringskvartal - H166 Prosessleder";"STATSBYGG";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-08";"/Notice/Details/2022-331959";"71000000";NA;"10";"2022";"29";"tor\."
"2022-358534";"Konkurranse på driftskontrakt 5420 Alta 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-13";"/Notice/Details/2022-358534";"63712200";NA;"10";"2022";"34";"tor\."
"2022-393715";"Dynamisk innkjøpsordning for leie/kjøp av større maskiner";"Rælingen kommune";"Kunngjøring av konkurranse";"2022-03-10";"2027-03-07";"/Notice/Details/2022-393715";"43260000";"150000000";"10";"2022";NA;"tor\."
"2022-339483";"Elektrisk feiebil";"Fredrikstad kommune";"Kunngjøring av konkurranse";"2022-03-10";"2022-04-11";"/Notice/Details/2022-339483";"34144430";"40000000";"10";"2022";"32";"tor\."
"2022-361224";"Anskaffelse av rammeavtale for konsulenttjenester - utvikling datavarehus";"Statsforvalterens fellestjenester";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-06";"/Notice/Details/2022-361224";"72000000";"200000000";"10";"2022";"28";"ons\."
"2022-300620";"Anskaffelse av rammeavtale for konsulenttjenester innen Optimizely";"Statsforvalterens fellestjenester";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-06";"/Notice/Details/2022-300620";"72000000";"200000000";"10";"2022";"28";"ons\."
"2022-345392";"Anskaffelse av rammeavtale for konsulenttjenester – webdesign og webutvikling";"Statsforvalterens fellestjenester";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-06";"/Notice/Details/2022-345392";"72000000";"500000000";"10";"2022";"28";"ons\."
"2022-382966";"Kartlegging av hybelboere";"Nordland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-28";"/Notice/Details/2022-382966";"79311200";"10000000";"10";"2022";"19";"ons\."
"2022-367067";"GULLSTADVEIEN - KVINESDAL KOMMUNE";"COWI AS";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-24";"/Notice/Details/2022-367067";"45233140";NA;"10";"2022";"15";"ons\."
"2022-318993";"RFI - høring av konkurransedokumenter";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-16";"/Notice/Details/2022-318993";"71321300";NA;"10";"2022";"7";"ons\."
"2022-360644";"Kjøp av GPR-målinger av hulrom for asfaltarbeider 2022";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-19";"/Notice/Details/2022-360644";"71000000";NA;"10";"2022";"41";"ons\."
"2022-355844";"Rensk og sikring Fv.50 Nesbø-og Berdalstunnelen";"Vestland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-30";"/Notice/Details/2022-355844";"45000000";NA;"10";"2022";"21";"ons\."
"2022-373874";"Biokullanlegg";"Sandnes kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-08";"/Notice/Details/2022-373874";"42000000";"50000000";"10";"2022";"30";"ons\."
"2022-360829";"Renhold for Trondheim bydrift";"Trondheim kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-21";"/Notice/Details/2022-360829";"90911000";"4500000";"10";"2022";"12";"ons\."
"2022-347256";"1202901 HVO Hans Strøm ombygging Kontrakt H002 Byggherreombud og SHA-koordinator for utførelsesfasen (KU) og prosjekteringsfasen (KP)";"STATSBYGG";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-347256";"71540000";NA;"10";"2022";"29";"ons\."
"2022-334588";"2022 Lastebil Hadsel VGS";"Nordland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-05";"/Notice/Details/2022-334588";"34140000";"18500000";"10";"2022";"27";"ons\."
"2022-315991";"Rammeavtale om bedriftshelsetjenester";"Arbeidstilsynet";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-08";"/Notice/Details/2022-315991";"85147000";"50000000";"10";"2022";"30";"ons\."
"2022-325763";"Individuelt tilrettelagt- og særskilt skoleskyss og skyss av reisefølge på Nord-Jæren";"Kolumbus AS";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-325763";"60130000";NA;"10";"2022";"29";"ons\."
"2022-358735";"Laser URO Steinknusing - HMR Kristiansund Sjukehus og St.Olavs Hospital";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-08";"/Notice/Details/2022-358735";"33100000";NA;"10";"2022";"30";"ons\."
"2022-321114";"2022-27 Kompetansemegling";"Møre og Romsdal Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-321114";"79411100";"57000000";"10";"2022";"29";"ons\."
"2022-369230";"E6 Fjerdingen - Grøndalselv Kontrakt: K3 Grøndalselvbrua med tilstøtende veg";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-12";"/Notice/Details/2022-369230";"45000000";NA;"10";"2022";"34";"ons\."
"2022-357302";"Jåttåvågen 2 - T6 og T7 Vest";"Stavanger kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-30";"/Notice/Details/2022-357302";"45233300";"250000000";"10";"2022";"21";"ons\."
"2022-323143";"Sceneteknikk til ny scenerigg v2 - Sunndal kulturhus";"Sunndal kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-323143";"45237000";"32000000";"10";"2022";"29";"ons\."
"2022-353142";"Systemstøtteverktøy for HR-prosesser 2022 (Kvalifiseringsfase)";"Norsk Helsenett SF";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-08";"/Notice/Details/2022-353142";"72220000";"65000000";"10";"2022";"30";"ons\."
"2022-389605";"Lab-analyser E10/rv. 85 Tjeldsund - Gullesfjordbotn - Langvassbukt";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-04";"/Notice/Details/2022-389605";"71900000";NA;"10";"2022";"26";"ons\."
"2022-316302";"Gaterenhold Klæbu 2022";"Trondheim kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-21";"/Notice/Details/2022-316302";"90610000";"3500000";"10";"2022";"12";"ons\."
"2022-328677";"1000795 Hosleveien - Dyrefaret";"Bærum kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-06";"/Notice/Details/2022-328677";"45000000";NA;"10";"2022";"28";"ons\."
"2022-331179";"Anskaffelse, levering og montering av to stk. undersøkelsesenhet øyeundersøkelse (bord og stol) til Helse Førde HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-16";"/Notice/Details/2022-331179";"38636000";NA;"10";"2022";"38";"ons\."
"2022-313494";"Rammeavtale for kjøp av legemidler, multidose, farmasøytisk tilsyn og legemiddelgjennomgang";"NRI Innkjøpssamarbeid";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-313494";"33000000";NA;"10";"2022";"29";"ons\."
"2022-355364";"KK-67619-Festiviteten Kong Olavs gt. 1 Totalentreprise fasadeutbedringer";"Kristiansund kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-04";"/Notice/Details/2022-355364";"45262500";"15000000";"10";"2022";"26";"ons\."
"2022-383058";"Anskaffelse, installering og idriftsettelse av nødstrømsgenerator, Helse Førde HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-29";"/Notice/Details/2022-383058";"45315300";NA;"10";"2022";"51";"ons\."
"2022-373757";"EØS 073-2021 Fagsystem for Tolketjenesten i Bergen kommune";"Bergen kommune - Innkjøp konsern";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-21";"/Notice/Details/2022-373757";"72000000";NA;"10";"2022";"43";"ons\."
"2022-326293";"Vegoppmerking fylkesveg Troms og Finnmark";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-24";"/Notice/Details/2022-326293";"45233221";"400000000";"10";"2022";"15";"ons\."
"2022-382735";"Hjertekateteriseringslab for levering til Helse Bergen HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-04";"/Notice/Details/2022-382735";"33000000";NA;"10";"2022";"26";"ons\."
"2022-351584";"Vedlikehold av Kjeungskjæret Fyrstasjon";"KYSTVERKET";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-05";"/Notice/Details/2022-351584";"45212350";"80000000";"10";"2022";"27";"ons\."
"2022-305192";"Brød til oppvekst";"Horten kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-03-31";"/Notice/Details/2022-305192";"15811100";"18000000";"10";"2022";"22";"ons\."
"2022-350485";"Utskifting av eksisterende ventilasjonsaggregater og tilknytting til eksisterende kanalsystem";"Det Norske Teatret";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-04";"/Notice/Details/2022-350485";"45331200";NA;"10";"2022";"26";"ons\."
"2022-351593";"FDVU-system til OsloMet";"OsloMet - storbyuniversitetet";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-21";"/Notice/Details/2022-351593";"72212420";NA;"10";"2022";"43";"ons\."
"2022-356254";"Konkurranse på Driftskontrakt 5409 Oksfjord 2022-2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-22";"/Notice/Details/2022-356254";"63712200";NA;"10";"2022";"44";"ons\."
"2022-331967";"2022 - Innkjøp av nye møbler ved Hunn skole";"Overhalla Kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-08";"/Notice/Details/2022-331967";"39160000";"20000000";"10";"2022";"30";"ons\."
"2022-344333";"EPJ";"Nesodden kommune";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-344333";"72212180";NA;"10";"2022";"29";"ons\."
"2022-388939";"Anskaffelse av renholdstjenester";"Romerike Avfallsforedling IKS";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-388939";"90900000";NA;"10";"2022";"29";"ons\."
"2022-343995";"Reisa Villakssenter";"Nordreisa kommune";"Kunngjøring av konkurranse";"2022-03-08";"2022-04-04";"/Notice/Details/2022-343995";"45000000";NA;"10";"2022";"27";"tir\."
"2022-348548";"Stibergvegen VVA";"Vefsn kommune";"Kunngjøring av konkurranse";"2022-03-08";"2022-04-05";"/Notice/Details/2022-348548";"45231300";NA;"10";"2022";"28";"tir\."
"2022-383260";"Risteinkubatorer";"Norges miljø- og biovitenskapelige universitet";"Kunngjøring av konkurranse";"2022-03-08";"2022-03-22";"/Notice/Details/2022-383260";"38000000";NA;"10";"2022";"14";"tir\."
